,0
0,1000000.0
1,999994.7500126376
2,999988.9183201528
3,999983.4249997024
4,999884.6625299026
5,1000166.2889895046
6,1000357.1167193352
7,1000856.643690952
8,1000844.4048532682
9,1000839.5845837806
10,1000833.4099952077
11,1000787.2092093509
12,1002021.8319241949
13,1001587.1673394708
14,1002066.1448076003
15,1002095.1551489457
16,1002087.6035672241
17,1002080.3226986609
18,1002073.0705698499
19,1003247.065708103
20,1002325.7825867109
21,1001487.2264219845
22,1001227.849081349
23,1001219.6926921837
24,1001213.045133862
25,1002352.2974319244
26,1002088.5242673794
27,997696.7810442712
28,998359.6088974437
29,996310.1045137881
30,996303.3880082753
31,996297.9909686454
32,997521.2478242639
33,999254.1289744925
34,1000542.006709779
35,1002070.0684689579
36,1004437.2687450409
37,1004429.68792815
38,1004422.5200888913
39,1007550.872681757
40,1006365.9092686942
41,1007888.6180238917
42,1007926.8175625444
43,1008758.0448299452
44,1008751.4197911173
45,1008743.8658100319
46,1008735.3780670277
47,1008783.7729894087
48,1008435.2115899175
49,1006100.8754886204
50,1009202.4154730823
51,1009196.6671036268
52,1009190.3598621453
53,1010650.2711119974
54,1010582.6000872327
55,1013799.6021978118
56,1008377.5141042065
57,1008062.997437941
58,1008054.6831556428
59,1008047.006480358
60,1011911.9001015846
61,1012040.0318863523
62,1011323.7062011462
63,1007253.3531991992
64,1012885.2863044449
65,1012878.1336470321
66,1012871.9508877503
67,1012431.5655590399
68,1012623.3346252622
69,1015618.217286879
70,1018546.645814557
71,1018323.9101356935
72,1018317.7842032107
73,1018309.6000368078
74,1020755.0524692227
75,1018234.9480956738
76,1020647.6642915616
77,1016452.5588506387
78,1014742.6691931069
79,1014734.7225431828
80,1014728.6844889182
81,1014695.4452635153
82,1007132.5016687581
83,1003737.4739783854
84,1005580.2848932509
85,1008346.1702412176
86,1008340.7112443278
87,1008334.8566094249
88,1007151.0967803017
89,1005648.5473247911
90,1007990.1265082924
91,1011675.2259749083
92,1011668.0732038507
93,1011659.8405630225
94,1011653.449095137
95,1013746.74038726
96,1012648.4592464163
97,1011514.5313209939
98,1014555.7354303349
99,1014050.8666519669
100,1014043.6381667439
101,1014035.7264175032
102,1014951.5005542106
103,1022784.1842000315
104,1026885.05762961
105,1025046.4226123063
106,1025693.4127731235
107,1025683.4267088213
108,1025676.8861729642
109,1022627.7481986707
110,1019378.932787365
111,1023794.5379991337
112,1021179.096008691
113,1024809.6361181715
114,1024802.365282138
115,1024795.3753116747
116,1028334.77167736
117,1032136.8128118345
118,1031832.23280586
119,1028290.9424392848
120,1022550.9816280709
121,1022542.7116638839
122,1022534.7506238545
123,1024275.812054985
124,1022827.3245422747
125,1025932.4236915259
126,1026624.3309687392
127,1030279.8689117878
128,1030271.9191263164
129,1030264.0124470227
130,1026124.5327635877
131,1024446.4917048797
132,1012006.7484785339
133,1015719.6389643282
134,1026077.0928193714
135,1026069.7169565392
136,1026061.9077542701
137,1031313.1604993879
138,1027960.1589497097
139,1021647.896346856
140,1026439.3775217205
141,1030310.4179278251
142,1030303.258778757
143,1030295.2409484637
144,1031081.8443710748
145,1027614.5818963804
146,1036049.4162620978
147,1041736.7191440392
148,1042756.6472217166
149,1042747.0904044836
150,1042738.2009073778
151,1042731.7372012229
152,1054962.9122428414
153,1061167.0986063732
154,1056217.7314526537
155,1061667.9919968797
156,1061659.6071862523
157,1061650.5393103473
158,1068191.0685902603
159,1066020.5085377512
160,1065450.280029579
161,1063326.6341217915
162,1070090.909803236
163,1070082.3142337683
164,1070073.9099559062
165,1069670.8023310422
166,1062609.8567770384
167,1057719.1288106525
168,1055746.1558637572
169,1046016.2493250909
170,1046009.8596836072
171,1046002.4684087605
172,1057018.7450604155
173,1060402.694776528
174,1063050.4054698623
175,1067044.7138132812
176,1073933.9985176544
177,1073924.400449913
178,1073916.156463259
179,1070575.1946593793
180,1069744.9582280696
181,1070121.346268359
182,1069819.8347733205
183,1069642.5839213221
184,1069633.8178640306
185,1069626.05332048
186,1069617.994109429
187,1061111.743385605
188,1059849.1206018417
189,1055203.6692099052
190,1066094.5732157305
191,1066086.2941943277
192,1066078.649501632
193,1069868.0099242362
194,1062844.4364344315
195,1061441.4148200802
196,1057309.3889488773
197,1048676.661842002
198,1048668.9731017766
199,1048661.7202043328
200,1033051.4374433678
201,1043110.5662928621
202,1053417.5380292204
203,1051592.5202909834
204,1050724.7954159304
205,1050718.355519278
206,1050709.3205500185
207,1061191.4693893017
208,1056720.3288894496
209,1066630.1877964619
210,1070553.2306768247
211,1070740.488151927
212,1070731.5651141922
213,1070722.9159380842
214,1067896.8089760663
215,1075775.2675232184
216,1071604.7874602247
217,1078239.8471675343
218,1075303.4666513288
219,1075296.1349698687
220,1075288.583718523
221,1073351.4346124455
222,1075548.5855327367
223,1083927.5283457707
224,1075285.6777023515
225,1079783.4024207587
226,1079775.9686414925
227,1079768.6957250978
228,1072245.8295693332
229,1058004.4545483086
230,1056849.5314030666
231,1047163.7955274982
232,1049756.5437955458
233,1049748.2394227115
234,1049741.2803957546
235,1067227.6514021633
236,1073410.3836101764
237,1081275.406804862
238,1075355.122419626
239,1086048.0652364565
240,1086040.1554758027
241,1086030.7926005642
242,1085510.8729037861
243,1089809.1438847478
244,1094344.2830460616
245,1097595.4603743614
246,1102686.8818980409
247,1102679.082766991
248,1102671.1000398195
249,1102664.5670471932
250,1097308.0486193215
251,1090456.6088125987
252,1089490.7491182513
253,1083812.0969331146
254,1083803.2353029952
255,1083792.6756962852
256,1088933.7887214602
257,1086446.4809130928
258,1099420.878360898
259,1096897.183913592
260,1090220.686746491
261,1090210.4951284607
262,1090204.2424847605
263,1070094.3026312927
264,1074778.1185164922
265,1092413.1155903349
266,1106816.9806066712
267,1102255.0469747977
268,1102245.1911552087
269,1102236.5169996324
270,1102062.1311545477
271,1094809.749497567
272,1100654.5346380766
273,1101571.6781934614
274,1113024.5065277657
275,1113016.1611599703
276,1113006.6128983712
277,1110514.1803586383
278,1119768.8745273473
279,1115747.3167359456
280,1128989.3036157135
281,1129001.0113589899
282,1128994.014791713
283,1128985.61090739
284,1126575.0211043125
285,1135454.549944832
286,1138806.314516664
287,1146186.7483030471
288,1146503.255733444
289,1146493.112658919
290,1146485.4519981914
291,1159609.7270567808
292,1156979.3874708686
293,1157717.6359562569
294,1154688.474086588
295,1154778.95419121
296,1154768.2989725661
297,1154757.433784328
298,1165384.4378115148
299,1161916.6730585955
300,1146329.5870538657
301,1158247.2736009713
302,1149292.8723438336
303,1149284.6993310677
304,1149276.6874872262
305,1168626.6159301656
306,1164949.9832503581
307,1179164.1208253796
308,1187128.1940952812
309,1199233.1816629898
310,1199221.942921787
311,1199210.6933879585
312,1211129.5825134742
313,1211099.843802553
314,1186358.2177908195
315,1203793.127576671
316,1181165.7489882065
317,1181153.8812009087
318,1181144.39574736
319,1184877.41087286
320,1175660.6033023428
321,1172875.4294814598
322,1167146.809096573
323,1162120.651525242
324,1162111.6291743943
325,1162102.4126862865
326,1157227.2365208536
327,1151214.089939205
328,1166978.1463279582
329,1166969.6116030188
330,1129528.588060998
331,1129518.3347086702
332,1129508.869307707
333,1129223.9031160353
334,1106757.7530585958
335,1093385.5018104264
336,1114584.457805625
337,1103785.5092127344
338,1103778.2794427117
339,1103771.158431591
340,1115545.52936165
341,1140439.7062101192
342,1149724.326154609
343,1134292.9831691158
344,1134237.2753332437
345,1134228.4975462502
346,1134220.195903193
347,1116701.5169370184
348,1119917.3643451007
349,1129503.7748888768
350,1134475.2113460468
351,1134574.5980891362
352,1134564.878746796
353,1134555.8172630605
354,1107066.9456494513
355,1135886.0670571201
356,1142441.8080435176
357,1155992.8020382195
358,1155984.694656293
359,1155975.8363779956
360,1155967.3113096282
361,1175226.7967915847
362,1167710.1056307382
363,1165475.1761871665
364,1171772.4360788467
365,1178418.048119753
366,1178404.0749819472
367,1178396.5368126724
368,1196925.4875428244
369,1198563.7738456812
370,1163485.3265788641
371,1163033.3350359858
372,1159092.0229215773
373,1159081.643055456
374,1159072.929867721
375,1151514.9556502511
376,1168498.4750597968
377,1182256.0864939885
378,1168811.3452868846
379,1172825.492773807
380,1172817.237512433
381,1172807.3816259205
382,1172799.2878152935
383,1160105.8300860147
384,1145700.3150755053
385,1113204.1515456333
386,1091382.9983745606
387,1091372.7314654817
388,1091364.3974782191
389,1098208.5204372674
390,1085998.610991669
391,1083366.1343239313
392,1064057.5731259442
393,1073385.9696464397
394,1073377.3167390933
395,1073368.0109169164
396,1099707.0014981765
397,1118778.9338775475
398,1125982.103239466
399,1114737.7668292008
400,1130221.081023119
401,1130213.224386032
402,1130202.8392850314
403,1136232.646193344
404,1154748.5878960611
405,1182427.740071783
406,1171495.3616082752
407,1164052.3331761274
408,1164044.001453849
409,1164035.4098375668
410,1140887.0522090762
411,1164923.810942902
412,1164622.7856748179
413,1155344.0025339464
414,1148147.8987215823
415,1148139.5244998245
416,1148128.5476728426
417,1148121.1196940632
418,1134891.7946580462
419,1111761.4347048511
420,1113087.1281420137
421,1159172.208137604
422,1159162.8121416217
423,1159154.3971485968
424,1148011.5946683758
425,1136573.9085910053
426,1169413.3073789058
427,1154123.1566277351
428,1150349.0970165103
429,1150340.0503603923
430,1150332.366213815
431,1112833.8803151262
432,1101856.0854170911
433,1130143.9024803496
434,1137405.4991044886
435,1121100.556625017
436,1121092.9422220138
437,1121083.8607874548
438,1068519.1231187012
439,1070511.3611699718
440,1105619.3774245335
441,1134945.9758372887
442,1158237.572820294
443,1158228.5531621915
444,1158218.4030781589
445,1190733.4466110158
446,1209586.587170402
447,1196841.3822954698
448,1235098.8238978921
449,1230669.3371482352
450,1230660.1408872318
451,1230655.2717307992
452,1220289.5910926824
453,1231256.4250935826
454,1242168.621097223
455,1235530.4343160351
456,1263867.2438487227
457,1263859.3626287708
458,1263854.2234108928
459,1265575.4203346635
460,1224599.7809091303
461,1210440.3692429718
462,1197475.6210843893
463,1215810.0137039295
464,1215807.1157845084
465,1215802.4616570903
466,1193563.435386985
467,1196031.7145081481
468,1217611.567225107
469,1223669.5690515286
470,1223663.4365218643
471,1223660.1434910137
472,1223656.5677606554
473,1212673.3786848092
474,1227829.2181173125
475,1233400.158562494
476,1190078.967006253
477,1163413.6600392316
478,1163410.7622068825
479,1163405.6236234205
480,1145552.798278758
481,1113475.3104408332
482,1139990.5518023444
483,1162960.3926884884
484,1137765.486517487
485,1137761.0782130826
486,1137757.0170219056
487,1132273.2303497489
488,1141084.5237900368
489,1184083.0894344784
490,1141730.3112095408
491,1133402.6670856895
492,1133395.3810752772
493,1133389.779589983
494,1031743.5669789645
495,1032468.8743955751
496,1046309.9796693595
497,1034081.3027072566
498,1085570.6515189724
499,1085566.2012890426
500,1085561.598238949
501,1100689.080962239
502,1147198.2727726346
503,1097035.1938558728
504,1121417.7555526455
505,1105447.1080143168
506,1105440.8057491127
507,1105434.3758421289
508,1141059.9003853658
509,1135454.132578989
510,1153767.5284573503
511,1187983.4604567674
512,1219398.6001796015
513,1219395.4876127741
514,1219391.1852065255
515,1219386.9327288084
516,1205940.0225444457
517,1205935.999742304
518,1226065.9014781162
519,1216779.8491373395
520,1216776.0528256036
521,1216770.1739697908
522,1210071.4276516798
523,1234291.3846462627
524,1214070.6534060137
525,1177025.3185173217
526,1148904.403646386
527,1148897.5951505345
528,1148892.0051671527
529,1076473.5404218445
530,1087743.7045209606
531,1089547.27193779
532,1029384.0292491269
533,1017245.9989474767
534,1017241.3653446247
535,1017237.2549886934
536,1017230.7031181447
537,1047112.453750282
538,1011884.9672451947
539,986654.5815952249
540,1011002.2077077184
541,1010995.9768171166
542,1010992.7584881019
543,1042054.4159953492
544,1033749.8947910533
545,1016271.3251343819
546,1014399.6478975549
547,1015517.3020739355
548,1015511.5976448103
549,1015508.8932709619
550,1015505.9174864655
551,996267.3867198847
552,978729.3940257264
553,1014680.704595326
554,1001743.5515258813
555,1001741.8260470815
556,1001739.1177632088
557,981317.1261021901
558,988854.3159263293
559,964615.5904033275
560,939356.3280579232
561,966213.8041343337
562,966211.4621021929
563,966209.4131431311
564,975979.9558285315
565,1004455.0506985377
566,1007142.0075081378
567,1008205.7484768295
568,987000.4009446638
569,986994.3605315966
570,986990.5333563008
571,1014551.2769610139
572,1004283.1246547549
573,1032863.9738887503
574,1045248.2684217381
575,1064584.0306303112
576,1064579.594009267
577,1064574.1313347076
578,1076703.89770845
579,1090507.9590183957
580,1061381.2647396838
581,1058679.1435813943
582,1049696.6606505737
583,1049693.271313142
584,1049686.4340413408
585,1067801.543086923
586,1048281.2554973675
587,1076949.1570530676
588,1098219.4165883258
589,1128047.0026137754
590,1128044.2912681855
591,1128038.8729628786
592,1115281.5356671805
593,1126216.1390778963
594,1123335.126998675
595,1134662.0344921167
596,1117449.484629716
597,1117445.8498918426
598,1117440.609457859
599,1110239.7567559662
600,1138243.816702566
601,1136399.4613030378
602,1170303.3665560458
603,1148735.8239949422
604,1148732.0559965796
605,1148727.5383452121
606,1138153.8348952304
607,1085798.563417767
608,1093830.204145125
609,1078358.1702271267
610,1082793.5307831971
611,1082791.8527517002
612,1082790.0767836794
613,1082787.1970384594
614,1089565.9317571712
615,1105171.3508255687
616,1118869.0745231046
617,1139927.997026694
618,1139923.2703129447
619,1139920.545745097
620,1166742.7709281286
621,1116257.3326273777
622,1113193.3444491168
623,1093238.8337260718
624,1108726.1859009245
625,1108718.6762465884
626,1108712.9499212508
627,1103172.5969013115
628,1081013.9287434665
629,1059307.7400469282
630,1040738.8109115405
631,992003.765346682
632,992000.8420630775
633,991996.6070776744
634,938732.1330785558
635,923798.3576279501
636,962026.0962382818
637,935132.3758689271
638,922609.8346003187
639,922605.9819735617
640,922602.5794123388
641,966596.9051886946
642,1008491.8873661188
643,1001417.8480550366
644,1002936.3640295316
645,973993.5856474843
646,973990.01101786
647,973983.5056590847
648,978128.3256332912
649,959048.4808672686
650,967455.1533830398
651,1001370.7585125944
652,958731.1407600349
653,958726.1065111355
654,958721.6555502958
655,987607.2019095691
656,998092.2515751228
657,989350.1793501528
658,977931.8600657271
659,1017259.7997183729
660,1017256.1380979139
661,1017251.5801238965
662,1004063.7796997604
663,1017862.6985876918
664,1026021.8453660792
665,1010297.9811891977
666,1000198.2979064896
667,1000193.4858061707
668,1000192.7490612917
669,980261.6170821376
670,1020091.1601486385
671,986914.50003234
672,1010749.1038801029
673,1054548.6084342015
