Stock,MAE,MSE,R²
0,0.01607612334191799,0.00047788865049369633,0.9977996349334717
1,0.030727587640285492,0.0014065897557884455,0.9123554229736328
2,0.02367251180112362,0.0009158250759355724,0.9882931113243103
3,0.019325783476233482,0.0006148132961243391,0.9069437384605408
4,0.029476866126060486,0.0014259116724133492,0.8706851005554199
5,0.014698079787194729,0.00039880702388472855,0.9961973428726196
6,0.02610418014228344,0.0011366689577698708,0.9508267641067505
7,0.018754221498966217,0.000599755032453686,0.9945484399795532
8,0.02241705358028412,0.0008765289676375687,0.9687984585762024
9,0.04722914844751358,0.003466499038040638,0.9083383083343506
10,0.00879018846899271,0.00013069072156213224,-0.7441889047622681
11,0.010305056348443031,0.0002194913977291435,0.9986828565597534
12,0.020783955231308937,0.0006822741124778986,0.978051483631134
13,0.02301916480064392,0.0008594206301495433,0.9967117309570312
14,0.02744477055966854,0.001298132468946278,0.9479878544807434
15,0.017865901812911034,0.0004787103971466422,0.9575783014297485
16,0.008342449553310871,0.00012146175868110731,0.9991490840911865
17,0.026890909299254417,0.0010361096356064081,0.9527768492698669
18,0.007261510938405991,0.00010059517080662772,0.9988172650337219
19,0.02688964642584324,0.0010522137163206935,0.9849158525466919
20,0.016097843647003174,0.0003832956135738641,0.902597188949585
21,0.030290158465504646,0.0014507105806842446,0.8438595533370972
22,0.023343775421380997,0.0009194944286718965,0.9832055568695068
23,0.01356965210288763,0.00026309676468372345,0.9929824471473694
24,0.0020035249181091785,7.203138920885976e-06,0.9996867775917053
25,0.017944317311048508,0.000542139750905335,0.990795373916626
26,0.015453397296369076,0.0003854648966807872,0.9499265551567078
27,0.04828667640686035,0.0039172545075416565,0.9646511077880859
28,0.041270192712545395,0.002752385102212429,0.8954967260360718
29,0.019498126581311226,0.0007013544673100114,0.9903291463851929
30,0.010999100282788277,0.00024729297729209065,0.9993905425071716
31,0.011925707571208477,0.0002423332043690607,0.973278284072876
32,0.017273660749197006,0.00046302226837724447,0.9610510468482971
33,0.024709336459636688,0.0009669195860624313,0.981616199016571
34,0.016385240480303764,0.0004809025558643043,0.9812982678413391
35,0.029648201540112495,0.001512116868980229,0.4956989884376526
36,0.03283414617180824,0.0016645704163238406,0.9573606252670288
37,0.015941744670271873,0.00042083815787918866,0.9854844212532043
38,0.02844584360718727,0.0013397401198744774,0.9767563939094543
39,0.04892571642994881,0.003498184261843562,0.9329559803009033
40,0.02549450285732746,0.0009323684498667717,0.8845663070678711
41,0.012106073088943958,0.00022192872711457312,0.8424100279808044
42,0.023498008027672768,0.0008518764516338706,0.9895334839820862
43,0.019429132342338562,0.0006360564730130136,0.9967613220214844
44,0.029209360480308533,0.0012954103294759989,0.9698446393013
45,0.015650369226932526,0.00038700379082001746,0.8022165894508362
46,0.02544262446463108,0.0010769517393782735,0.9374964833259583
47,0.024645131081342697,0.0010113692842423916,0.9655781388282776
