Stock,MAE,MSE,R²
0,0.017246926203370094,0.0005749918636865914,0.9973525404930115
1,0.025316163897514343,0.000995350768789649,0.9379797577857971
2,0.017824308946728706,0.0005857762298546731,0.9925121068954468
3,0.014866531826555729,0.00034353387309238315,0.9480037689208984
4,0.04159282520413399,0.002641820115968585,0.760415256023407
5,0.01563943922519684,0.0004363025655038655,0.9958398342132568
6,0.03355851769447327,0.001744992332533002,0.9245102405548096
7,0.02333393320441246,0.0008318860782310367,0.9924384355545044
8,0.017712818458676338,0.0005529996124096215,0.9803150296211243
9,0.039438117295503616,0.002309376373887062,0.9389351010322571
10,0.012472091242671013,0.0002360446669626981,-2.150235176086426
11,0.010546041652560234,0.00024005572777241468,0.9985594153404236
12,0.024809859693050385,0.0010691629722714424,0.9656054377555847
13,0.018846221268177032,0.0006426029722206295,0.9975413084030151
14,0.047978904098272324,0.003149623516947031,0.8738043904304504
15,0.02148481458425522,0.0006465306505560875,0.9427066445350647
16,0.0067904856987297535,8.577499102102593e-05,0.9993990659713745
17,0.034217920154333115,0.001675357110798359,0.9236416220664978
18,0.006789830047637224,0.00010147182911168784,0.9988069534301758
19,0.03783257678151131,0.0020654487889260054,0.9703904390335083
20,0.012926933355629444,0.00023499327653553337,0.9402837157249451
21,0.02865416742861271,0.001264868420548737,0.8638617992401123
22,0.0312507189810276,0.0015606334200128913,0.9714952707290649
23,0.01210265513509512,0.00023714167764410377,0.9936747550964355
24,0.002549512078985572,1.1201664165128022e-05,0.9995129108428955
