,0
0,1000000.0
1,999999.2292862623
2,999998.4168614849
3,1000286.471450977
4,999926.9018459523
5,1000198.6974035429
6,1000427.274231211
7,1001114.4144366252
8,1001111.8610074283
9,1001109.697624073
10,1001463.2978822661
11,1001443.3580850835
12,1001860.5665943136
13,1001809.7546107762
14,1001098.8199624745
15,1001098.1429505062
16,1001096.4011955882
17,1001083.3029925915
18,1000753.0745559093
19,1000036.5005200886
20,999278.5210233504
21,998172.6090582128
22,998169.6872688363
23,998169.2360064815
24,998134.132885999
25,998995.609710482
26,996946.0170783695
27,994122.6221227278
28,993508.4041914387
29,993506.2787279905
30,993502.3270372071
31,995970.6929909295
32,996507.727857059
33,999329.5824922856
34,1002484.7622796933
35,1001993.8887697986
36,1001992.4631578348
37,1001991.0307791551
38,1003234.5310559301
39,1005200.7662346503
40,1005928.5557549564
41,1004544.0156747671
42,1008423.760435102
43,1008421.3248446732
44,1008416.8544450382
45,1006783.0497984595
46,1009895.5454572785
47,1011012.4521756273
48,1012518.0838331812
49,1012238.4279523348
50,1012236.5669889217
51,1012231.4694069711
52,1014639.4043678809
53,1013787.2342442475
54,1014625.4411340564
55,1014621.1716958267
56,1013150.6304356817
57,1013146.7645878715
58,1013140.6431428859
59,1012650.0492271798
60,1012669.0305742499
61,1011133.4777197844
62,1013116.549741259
63,1014169.6031702162
64,1014168.18357313
65,1014164.9329589661
66,1011895.7616962634
67,1016462.6844567958
68,1014809.6311084895
69,1018257.2907849783
70,1020708.7595100877
71,1020706.5567308714
72,1020703.5659953937
73,1018551.4682101323
74,1022322.0103958778
75,1028279.2995042587
76,1027878.6677307513
77,1026619.0323314411
