Stock,MAE,MSE,R²
0,0.01833929866552353,0.0005761921056546271,0.9973470568656921
1,0.02242063172161579,0.0008137213299050927,0.9492970705032349
2,0.02256622351706028,0.0007233481737785041,0.9907535314559937
3,0.01342686265707016,0.00030949804931879044,0.9531553387641907
4,0.03305505961179733,0.001734124612994492,0.8427335023880005
5,0.01761949434876442,0.0005875758361071348,0.9943974614143372
6,0.043137796223163605,0.002657312899827957,0.8850424885749817
7,0.01936422474682331,0.0006614640587940812,0.993987500667572
8,0.02183513343334198,0.0007363887270912528,0.9737870097160339
9,0.04816468432545662,0.003893139772117138,0.8970569968223572
10,0.009280333295464516,0.0001321523595834151,-0.7636958360671997
11,0.012308203615248203,0.0003160852356813848,0.9981032013893127
12,0.023507893085479736,0.0008623801404610276,0.9722575545310974
13,0.021778728812932968,0.0007910147542133927,0.99697345495224
14,0.021899687126278877,0.0006984379142522812,0.9720157384872437
15,0.015617125667631626,0.00036066549364477396,0.9680390357971191
16,0.005940333474427462,6.603931979043409e-05,0.9995373487472534
17,0.025515180081129074,0.001042448217049241,0.9524879455566406
18,0.006443528924137354,7.452965655829757e-05,0.999123752117157
19,0.021332673728466034,0.0007760525913909078,0.9888747930526733
20,0.012451100163161755,0.0002542005677241832,0.9354027509689331
21,0.026977263391017914,0.001157547696493566,0.8754127621650696
22,0.029524484649300575,0.0013729515485465527,0.9749232530593872
23,0.01747800223529339,0.0004590339958667755,0.9877562522888184
24,0.0019902123603969812,6.554706487804651e-06,0.9997149705886841
