,0
0,1000000.0
1,999993.2049823717
2,999985.2838231651
3,999941.9074450741
4,999441.2230048958
5,999691.6719711283
6,999534.3402345056
7,1000335.5027901831
8,1000326.0170982672
9,1000317.8257175069
10,1000745.4294720301
11,1001265.8086225549
12,1001795.2941687943
13,1001033.5892676864
14,1000033.3182456502
15,1000025.0983065154
16,1000016.0824512929
17,1001455.2375497911
18,1001247.1253697973
19,998674.565058029
20,997300.970367361
21,994818.7086592613
22,994811.6226822606
23,994802.6817506034
24,992974.0263993638
25,996079.8880445623
26,991631.054504627
27,987877.2335294652
28,988507.8502615398
29,988499.124017952
30,988491.3490344974
31,992192.2236069199
32,991578.6625408006
33,997287.453679514
34,1003254.1904496641
35,1005769.9186479211
36,1005759.8218097149
37,1005751.8811720825
38,1006352.391527381
39,1007542.0297518681
40,1006995.2912881803
41,1003305.6300766722
42,1010652.3306399231
43,1010644.3124811212
44,1010633.1388305038
45,1009852.1502853526
46,1018330.5851149651
47,1021622.7891105342
48,1022386.8040332206
49,1023323.7392131035
50,1023315.0684261888
51,1023307.1634119115
52,1027587.755268057
53,1026014.5537741897
54,1028333.9429798328
55,1028325.0242736656
56,1028964.5874193172
57,1028955.3886944359
58,1028946.0894152594
59,1028135.0202863006
60,1027895.3580709597
61,1028275.3971551266
62,1035135.6186076124
63,1041181.6862723134
64,1041171.2039439613
65,1041162.4451685813
66,1035146.640856261
67,1036469.6100939136
68,1034538.1872448128
69,1045091.3857358772
70,1047659.0895726196
71,1047648.151199413
72,1047639.3400751917
73,1053218.929138205
74,1058346.1621632874
75,1070039.2527486659
76,1076969.0958069568
77,1080039.6795978127
