,0
0,1000000.0
1,999991.5448334841
2,999981.4273700253
3,999907.0116163186
4,999234.9923957211
5,999490.6293690135
6,999511.7648349217
7,1000210.7832938025
8,1000199.3872115307
9,1000189.8669883849
10,1000851.2359729882
11,1001351.5189286994
12,1001515.552252417
13,1000763.264654338
14,1000194.0805115785
15,1000184.3808196367
16,1000174.6937344722
17,1001700.8088462612
18,1002306.1443042761
19,999588.2949734031
20,997581.772041746
21,994633.7581717093
22,994624.2443341437
23,994615.7096564673
24,993826.7222670906
25,995979.5954155356
26,994008.7997846564
27,989841.5738321223
28,986354.7699396015
29,986345.4517675281
30,986336.919586934
31,991132.7392821752
32,990057.1966284151
33,993492.4215450473
34,999674.9655543754
35,1001544.9282452181
36,1001535.077862763
37,1001526.1381292389
38,1002050.7404587416
39,1002879.537405275
40,1002685.2227626268
41,1000554.8697981694
42,1007551.1781719498
43,1007540.2017827464
44,1007530.3148627847
45,1008077.7237800121
46,1015535.7194847203
47,1019383.2968017505
48,1014386.8556875089
49,1015024.6599744941
50,1015011.5548164404
51,1014999.9844225883
52,1018410.6435700596
53,1017300.0280729185
54,1017596.9383227085
55,1017585.0206558176
56,1018747.2010889548
57,1018735.7189388648
58,1018725.7944326916
59,1018496.36407868
60,1020627.3517182168
61,1017190.9432307512
62,1020618.9275143252
63,1023194.5703261406
64,1023182.7703936658
65,1023169.5603379913
66,1019895.0651531098
67,1022012.4752558502
68,1019767.8733468653
69,1024744.9626646014
70,1028017.9824358257
71,1028005.7183843986
72,1027995.4157839441
73,1027784.1485484325
74,1031081.0347163029
75,1042203.8436322984
76,1050338.9559646524
77,1053425.4863365376
