,0
0,1000000.0
1,999995.6911659561
2,999991.6407098167
3,999964.5753907867
4,999715.9559927827
5,999914.343933612
6,999999.3858100311
7,1000396.8829145798
8,1000392.6899036502
9,1000387.7537488433
10,1000596.8549557322
11,1000796.2750992532
12,1000810.6002891808
13,1000480.5261973914
14,1000198.969528776
15,1000194.1329754931
16,1000190.6722209248
17,1000792.9299388072
18,1000866.9331450593
19,999743.5000373204
20,999074.3454218089
21,997924.1381322796
22,997921.1434400731
23,997917.9743733925
24,997294.1089535665
25,997840.4518438921
26,996497.2906195264
27,995619.9382650601
28,995174.770297336
29,995170.6010537223
30,995166.5610893483
31,996288.5216258651
32,996179.834201461
33,997364.7396801199
34,999988.5521478903
35,1000725.0895124965
36,1000721.019910218
37,1000717.3311527326
38,1000419.1622648303
39,1000484.0800308645
40,1000094.8039724717
41,999933.8718183371
42,1001548.6545501737
43,1001544.540160818
44,1001540.4864439085
45,1002150.444631734
46,1005399.0526769151
47,1006843.0878671546
48,1006737.9011629452
49,1007401.7852246803
50,1007397.9258607959
51,1007393.8008560422
52,1008643.8858340847
53,1008430.5639952989
54,1008420.6059951442
55,1008415.5774721423
56,1008872.7211269274
57,1008868.460258411
58,1008863.4294197799
59,1008303.5639253879
60,1008312.0473451292
61,1008188.2148429622
62,1010065.6139811618
63,1011859.5521573052
64,1011855.7703960568
65,1011851.3732903578
66,1009619.7918024609
67,1009011.5677091989
68,1008748.4050657286
69,1010957.1424162951
70,1012368.4579340267
71,1012362.9321110424
72,1012357.8295954635
73,1013618.8236654118
74,1014155.1902904642
75,1017854.7975180151
76,1022257.4461268814
77,1022944.6113515294
